algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_row,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,128,64,32,16,8,32,4,0.203526,0.67415,3.31235,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,2,0.058263,0.67573,11.5979,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,3,0.0647462,0.675988,10.4406,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,128,64,32,64,64,32,16,8,32,4,0.0826694,0.676036,8.17758,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,2,0.0917376,0.675888,7.36762,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,3,0.0943139,0.67419,7.14837,0
2,sm_86,1024,4096,4096,32,4,2,40,0.5,32,64,32,32,64,32,16,8,32,4,0.116648,0.674162,5.77944,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,2,0.0380054,0.674178,17.739,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,3,0.0415594,0.674153,16.2214,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,32,64,32,16,8,32,4,0.0421165,0.6741,16.0056,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,2,0.0407754,0.674116,16.5324,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,3,0.0512586,0.674197,13.1529,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,64,64,32,64,64,32,16,8,32,4,0.0610138,0.674094,11.0482,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,2,0.0309843,0.674138,21.7574,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,3,0.0332291,0.674122,20.2871,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,32,64,32,16,8,32,4,0.0384134,0.674123,17.5491,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,128,64,32,16,8,32,2,0.108353,0.674119,6.22149,0
2,sm_86,1024,4096,4096,32,4,2,100,0.5,128,64,32,128,64,32,16,8,32,3,0.0976493,0.674133,6.90361,0
